a2jmidid 8-1
perl-mouse 2.4.5-3
perl-net-dbus 1.1.0-3
perl-net-dropbox-api 1.9-3
perl-net-http 6.09-1
perl-net-oauth 0.28-4
perl-net-ssleay 1.72-4
perl-path-class 0.36-1
perl-proc-processtable 0.53-2
perl-proc-simple 1.32-1
perl-sgmls 1.03ii-5
perl-smart-comments 1.000005-1
perl-sort-naturally 1.03-1
perl-sub-uplevel 0.25-1
perl-test-warn 0.30-1
perl-text-iconv 1.7-11
perl-timedate 2.30-2
perl-tree-dag-node 1.29-1
perl-types-serialiser 1.0-1
perl-uri 1.71-1
perl-www-mechanize 1.75-1
perl-www-robotrules 6.02-2
perl-x11-guitest 0.28-2
perl-x11-protocol 0.56-6
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-4
perl-xml-simple 2.22-1
perl-xml-twig 3.49-1
perl-yaml-tiny 1.69-1
perlbrew 0.75-1
phonon-qt4 4.9.0-1
phonon-qt4-gstreamer 4.9.0-1
php 7.0.7-1
pinentry 0.9.7-2
pitivi 0.95-7
pixman 0.34.0-1
pkg-config 0.29.1-1
pkgfile 15-1
playerctl 0.5.0-1
pnmixer 0.6.1-2
polar-night-theme 20141006-1
polkit 0.113-4
polyphone 1.7-1
poppler 0.42.0-1
poppler-glib 0.42.0-1
popt 1.16-8
portaudio 19_20140130-3
portmidi 217-5
portsmf 228-2
potrace 1.13-1
presentproto 1.0-1
processing 3.1.1-1
procps-ng 3.3.11-2
psmisc 22.21-3
ptex 2.0.62-2
pulseaudio 8.0-3
pulseaudio-alsa 2-3
pulseaudio-equalizer 8.0-3
pulseaudio-jack 8.0-3
pygobject-devel 3.20.0-1
pygobject2-devel 2.28.6-12
pygoocanvas 0.14.1-7
pygtk 2.24.0-6
pyqt4-common 4.11.4-4
pyqt5-common 5.6-1
python 3.5.1-2
python-beaker 1.8.0-1
python-cairo 1.10.0-6
python-chardet 2.3.0-2
python-cycler 0.10.0-1
python-dateutil 2.5.3-1
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.20.0-1
python-isodate 0.5.4-2
python-mako 1.0.4-1
python-markupsafe 0.23-3
python-matplotlib 1.5.1-2
python-numpy 1.11.0-1
python-packaging 16.7-1
python-pip 8.1.2-1
python-pycups 1.9.73-2
python-pycurl 7.43.0-1
python-pyparsing 2.1.4-1
python-pyqt4 4.11.4-4
python-pyqt5 5.6-1
python-pytz 2016.4-1
python-rdflib 4.2.1-2
python-requests 2.10.0-1
python-setuptools 1:23.0.0-1
python-sip 4.18-1
python-six 1.10.0-1
python-urllib3 1.15.1-1
python-xdg 0.25-3
python2 2.7.11-3
python2-babel 2.3.4-1
python2-cairo 1.10.0-2
python2-cffi 1.6.0-1
python2-chardet 2.3.0-2
python2-crypto 2.6.1-3
python2-cryptography 1.4-1
python2-dbus 1.2.4-1
python2-distutils-extra 2.39-1
python2-docutils 0.12-3
python2-enum34 1.1.6-1
python2-gnomevfs 2.28.1-9
python2-gobject 3.20.0-1
python2-gobject2 2.28.6-12
python2-httplib2 0.9.2-1
python2-idna 2.1-1
python2-imagesize 0.7.1-1
python2-ipaddress 1.0.16-1
python2-jinja 2.8-2
python2-markupsafe 0.23-3
python2-numpy 1.11.0-1
python2-packaging 16.7-1
python2-pillow 3.2.0-1
python2-pip 8.1.2-1
python2-ply 3.8-1
python2-pyasn1 0.1.9-1
python2-pycparser 2.14-2
python2-pygments 2.1.3-1
python2-pyopenssl 16.0.0-1
python2-pyparsing 2.1.4-1
python2-pyqt4 4.11.4-4
python2-pytz 2016.4-1
python2-setuptools 1:23.0.0-1
python2-sip 4.18-1
